 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.000454 + 0.172166 + 0.739898 + 0.087482 +  = 1.000000, objective value => 0.809524 
 2 )  0.204745 + 0.228053 + 0.204338 + 0.362864 +  = 1.000000, objective value => 0.690196 
 3 )  0.252227 + 0.196242 + 0.387052 + 0.164479 +  = 1.000000, objective value => 0.690196 
 4 )  0.118936 + 0.298128 + 0.526857 + 0.056080 +  = 1.000000, objective value => 0.762791 
 5 )  0.322797 + 0.177414 + 0.276256 + 0.223533 +  = 1.000000, objective value => 0.690196 
 6 )  0.340957 + 0.112765 + 0.347573 + 0.198705 +  = 1.000000, objective value => 0.690196 
 7 )  0.099496 + 0.380068 + 0.187902 + 0.332534 +  = 1.000000, objective value => 0.690196 
 8 )  0.093743 + 0.065130 + 0.564589 + 0.276538 +  = 1.000000, objective value => 0.762791 
 9 )  0.169239 + 0.146842 + 0.239366 + 0.444553 +  = 1.000000, objective value => 0.690196 
 10 )  0.130611 + 0.435247 + 0.170944 + 0.263198 +  = 1.000000, objective value => 0.734884 
 11 )  0.122356 + 0.325417 + 0.245040 + 0.307187 +  = 1.000000, objective value => 0.686275 
 12 )  0.329826 + 0.047878 + 0.116650 + 0.505646 +  = 1.000000, objective value => 0.690196 
 13 )  0.051718 + 0.316428 + 0.377451 + 0.254402 +  = 1.000000, objective value => 0.809524 
 14 )  0.380797 + 0.143922 + 0.087808 + 0.387473 +  = 1.000000, objective value => 0.690196 
 15 )  0.031650 + 0.470627 + 0.362886 + 0.134838 +  = 1.000000, objective value => 0.925000 
 16 )  0.292106 + 0.283933 + 0.125946 + 0.298015 +  = 1.000000, objective value => 0.690196 
 17 )  0.039974 + 0.355977 + 0.387827 + 0.216222 +  = 1.000000, objective value => 0.809524 
 18 )  0.237652 + 0.112382 + 0.034245 + 0.615721 +  = 1.000000, objective value => 0.690196 
 19 )  0.202265 + 0.494370 + 0.042074 + 0.261291 +  = 1.000000, objective value => 0.925000 
 20 )  0.334746 + 0.194959 + 0.117928 + 0.352367 +  = 1.000000, objective value => 0.690196 
 21 )  0.467667 + 0.382925 + 0.054675 + 0.094733 +  = 1.000000, objective value => 0.690196 
 22 )  0.359878 + 0.031501 + 0.248029 + 0.360592 +  = 1.000000, objective value => 0.690196 
 23 )  0.498918 + 0.103748 + 0.167840 + 0.229494 +  = 1.000000, objective value => 0.690196 
 24 )  0.272341 + 0.443114 + 0.180244 + 0.104302 +  = 1.000000, objective value => 0.734884 
 25 )  0.315398 + 0.337809 + 0.317842 + 0.028951 +  = 1.000000, objective value => 0.686275 
 26 )  0.312947 + 0.386124 + 0.053687 + 0.247243 +  = 1.000000, objective value => 0.690196 
 27 )  0.604259 + 0.012585 + 0.133822 + 0.249335 +  = 1.000000, objective value => 0.690196 
 28 )  0.160685 + 0.348952 + 0.341784 + 0.148579 +  = 1.000000, objective value => 0.734884 
 29 )  0.287548 + 0.123173 + 0.259028 + 0.330251 +  = 1.000000, objective value => 0.690196 
 30 )  0.148653 + 0.722209 + 0.024028 + 0.105109 +  = 1.000000, objective value => 0.925000 
 31 )  0.461081 + 0.276120 + 0.262139 + 0.000660 +  = 1.000000, objective value => 0.690196 
 32 )  0.292291 + 0.227963 + 0.216501 + 0.263245 +  = 1.000000, objective value => 0.690196 
 33 )  0.408091 + 0.140257 + 0.055018 + 0.396634 +  = 1.000000, objective value => 0.690196 
 34 )  0.383345 + 0.508414 + 0.005148 + 0.103094 +  = 1.000000, objective value => 0.670588 
