 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.001522 + 0.363197 + 0.342136 + 0.293146 +  = 1.000000, objective value => 0.975000 
 2 )  0.176009 + 0.269517 + 0.174378 + 0.380096 +  = 1.000000, objective value => 0.637037 
 3 )  0.066943 + 0.239113 + 0.413608 + 0.280337 +  = 1.000000, objective value => 0.637037 
 4 )  0.077046 + 0.630570 + 0.280652 + 0.011732 +  = 1.000000, objective value => 0.975000 
 5 )  0.213984 + 0.288399 + 0.260542 + 0.237075 +  = 1.000000, objective value => 0.596296 
 6 )  0.345084 + 0.173814 + 0.355282 + 0.125819 +  = 1.000000, objective value => 0.596296 
 7 )  0.002779 + 0.352390 + 0.395202 + 0.249629 +  = 1.000000, objective value => 0.975000 
 8 )  0.212299 + 0.031666 + 0.148748 + 0.607286 +  = 1.000000, objective value => 0.683019 
 9 )  0.182802 + 0.261984 + 0.402961 + 0.152253 +  = 1.000000, objective value => 0.596296 
 10 )  0.392242 + 0.076909 + 0.425198 + 0.105650 +  = 1.000000, objective value => 0.596296 
 11 )  0.196391 + 0.029447 + 0.395268 + 0.378893 +  = 1.000000, objective value => 0.596296 
 12 )  0.304405 + 0.049757 + 0.271852 + 0.373985 +  = 1.000000, objective value => 0.644445 
 13 )  0.046825 + 0.319849 + 0.425829 + 0.207496 +  = 1.000000, objective value => 0.975000 
 14 )  0.125219 + 0.055210 + 0.311140 + 0.508431 +  = 1.000000, objective value => 0.701961 
 15 )  0.178643 + 0.211985 + 0.337177 + 0.272195 +  = 1.000000, objective value => 0.596296 
 16 )  0.274548 + 0.248194 + 0.406086 + 0.071172 +  = 1.000000, objective value => 0.596296 
 17 )  0.447484 + 0.368499 + 0.046464 + 0.137554 +  = 1.000000, objective value => 0.596296 
 18 )  0.097176 + 0.232082 + 0.343106 + 0.327636 +  = 1.000000, objective value => 0.637037 
 19 )  0.059339 + 0.646583 + 0.028810 + 0.265269 +  = 1.000000, objective value => 0.975000 
 20 )  0.078171 + 0.422374 + 0.262031 + 0.237424 +  = 1.000000, objective value => 0.975000 
 21 )  0.563798 + 0.035402 + 0.188659 + 0.212141 +  = 1.000000, objective value => 0.596296 
 22 )  0.034070 + 0.287307 + 0.638047 + 0.040576 +  = 1.000000, objective value => 0.975000 
 23 )  0.491158 + 0.195826 + 0.067590 + 0.245426 +  = 1.000000, objective value => 0.596296 
 24 )  0.227473 + 0.172388 + 0.305672 + 0.294466 +  = 1.000000, objective value => 0.596296 
 25 )  0.257651 + 0.460239 + 0.279750 + 0.002360 +  = 1.000000, objective value => 0.975000 
 26 )  0.215489 + 0.410847 + 0.310333 + 0.063332 +  = 1.000000, objective value => 0.975000 
 27 )  0.799081 + 0.087267 + 0.080202 + 0.033451 +  = 1.000000, objective value => 0.596296 
 28 )  0.081418 + 0.376825 + 0.321215 + 0.220541 +  = 1.000000, objective value => 0.975000 
 29 )  0.317955 + 0.270499 + 0.290272 + 0.121274 +  = 1.000000, objective value => 0.596296 
 30 )  0.341376 + 0.394344 + 0.094923 + 0.169357 +  = 1.000000, objective value => 0.596296 
 31 )  0.181559 + 0.424937 + 0.165341 + 0.228164 +  = 1.000000, objective value => 0.975000 
 32 )  0.108946 + 0.461062 + 0.354054 + 0.075937 +  = 1.000000, objective value => 0.975000 
